
???? INICIANDO SIMULA????O HFT INSTITUCIONAL...
-------------------------------------------
??? Configura????es do Rob?? carreadas.
???? Buscando 500 velas de M15 (GOLD)...
???? Dados obtidos: 500 velas.
???? Processando sinais Institucionais...

???? Per??odo: 23/03 a 25/03 (3 Dias Acumulados)

[25/03/2026, 00:00:00] [WIN] Trade #378 | Lote: 0.01 | P&L: +$17.31 | Saldo: $6067.34 ???
[25/03/2026, 00:15:00] [WIN] Trade #379 | Lote: 0.01 | P&L: +$18.14 | Saldo: $6085.48 ???
[25/03/2026, 00:30:00] [WIN] Trade #380 | Lote: 0.01 | P&L: +$23.40 | Saldo: $6108.88 ???
[25/03/2026, 00:45:00] [LOSS] Trade #189 | Lote: 0.02 | P&L: $-10.05 | Saldo: $6098.83 ???
[25/03/2026, 01:00:00] [WIN] Trade #382 | Lote: 0.01 | P&L: +$26.41 | Saldo: $6125.24 ???
[25/03/2026, 01:15:00] [WIN] Trade #383 | Lote: 0.01 | P&L: +$10.41 | Saldo: $6135.65 ???
[25/03/2026, 01:30:00] [WIN] Trade #384 | Lote: 0.01 | P&L: +$16.93 | Saldo: $6152.58 ???
[25/03/2026, 01:45:00] [LOSS] Trade #193 | Lote: 0.01 | P&L: $-8.72 | Saldo: $6143.86 ???
[25/03/2026, 02:00:00] [WIN] Trade #386 | Lote: 0.01 | P&L: +$16.38 | Saldo: $6160.24 ???
[25/03/2026, 02:15:00] [WIN] Trade #387 | Lote: 0.01 | P&L: +$8.15 | Saldo: $6168.39 ???
[25/03/2026, 02:30:00] [WIN] Trade #388 | Lote: 0.01 | P&L: +$16.00 | Saldo: $6184.39 ???
[25/03/2026, 02:45:00] [WIN] Trade #389 | Lote: 0.01 | P&L: +$20.70 | Saldo: $6205.09 ???
[25/03/2026, 03:00:00] [WIN] Trade #390 | Lote: 0.02 | P&L: +$25.94 | Saldo: $6231.03 ???
[25/03/2026, 03:15:00] [LOSS] Trade #199 | Lote: 0.02 | P&L: $-7.72 | Saldo: $6223.31 ???
[25/03/2026, 03:30:00] [LOSS] Trade #200 | Lote: 0.01 | P&L: $-4.08 | Saldo: $6219.24 ???
